extractor,judge_a,judge_b,mean_a,mean_b,delta,p_raw,p_adj_BH,sig
Kimi-K2,DeepSeek-V3-685B,Llama-3.1-8B,2.857,2.143,0.714,0.0,0.0,***
Kimi-K2,DeepSeek-V3-685B,Llama-3.2-3B,2.857,2.138,0.719,0.0,0.0,***
Kimi-K2,DeepSeek-V3-685B,Qwen2.5-7B,2.857,2.036,0.821,0.0,0.0,***
Kimi-K2,DeepSeek-V3-685B,Claude-Sonnet-4.6,2.857,2.75,0.107,0.4366,0.5457,ns
Kimi-K2,DeepSeek-V3-685B,GPT-4.1,2.857,2.821,0.036,0.7954,0.8522,ns
Kimi-K2,Kimi-K2-1T,Llama-3.3-70B,2.393,2.571,-0.179,0.1947,0.2656,ns
Kimi-K2,Kimi-K2-1T,Gemma-3-27B,2.393,2.643,-0.25,0.0505,0.0875,ns
Kimi-K2,Kimi-K2-1T,Qwen3-32B,2.393,2.893,-0.5,0.0003,0.0008,***
Kimi-K2,Kimi-K2-1T,Llama-3.1-8B,2.393,2.143,0.25,0.0695,0.1117,ns
Kimi-K2,Kimi-K2-1T,Llama-3.2-3B,2.393,2.138,0.255,0.0499,0.0875,ns
Kimi-K2,Kimi-K2-1T,Qwen2.5-7B,2.393,2.036,0.357,0.0796,0.1236,ns
Kimi-K2,Kimi-K2-1T,Claude-Sonnet-4.6,2.393,2.75,-0.357,0.0095,0.0194,*
Kimi-K2,Kimi-K2-1T,GPT-4.1,2.393,2.821,-0.429,0.0019,0.0042,**
Kimi-K2,Llama-3.3-70B,Gemma-3-27B,2.571,2.643,-0.071,0.5101,0.62,ns
Kimi-K2,Llama-3.3-70B,Qwen3-32B,2.571,2.893,-0.321,0.0196,0.0383,*
Kimi-K2,Llama-3.3-70B,Llama-3.1-8B,2.571,2.143,0.429,0.0019,0.0042,**
Kimi-K2,Llama-3.3-70B,Llama-3.2-3B,2.571,2.138,0.434,0.0011,0.0028,**
Kimi-K2,Llama-3.3-70B,Qwen2.5-7B,2.571,2.036,0.536,0.0023,0.0049,**
Kimi-K2,Llama-3.3-70B,Claude-Sonnet-4.6,2.571,2.75,-0.179,0.1947,0.2656,ns
Kimi-K2,Llama-3.3-70B,GPT-4.1,2.571,2.821,-0.25,0.0695,0.1117,ns
Kimi-K2,Gemma-3-27B,Qwen3-32B,2.643,2.893,-0.25,0.0939,0.1408,ns
Kimi-K2,Gemma-3-27B,Llama-3.1-8B,2.643,2.143,0.5,0.0002,0.0005,***
Kimi-K2,Gemma-3-27B,Llama-3.2-3B,2.643,2.138,0.505,0.0001,0.0003,***
Kimi-K2,Gemma-3-27B,Qwen2.5-7B,2.643,2.036,0.607,0.0002,0.0006,***
Kimi-K2,Gemma-3-27B,Claude-Sonnet-4.6,2.643,2.75,-0.107,0.5235,0.62,ns
Kimi-K2,Gemma-3-27B,GPT-4.1,2.643,2.821,-0.179,0.2474,0.3275,ns
Kimi-K2,Qwen3-32B,Llama-3.1-8B,2.893,2.143,0.75,0.0,0.0,***
Kimi-K2,Qwen3-32B,Llama-3.2-3B,2.893,2.138,0.755,0.0,0.0,***
Kimi-K2,Qwen3-32B,Qwen2.5-7B,2.893,2.036,0.857,0.0,0.0,***
Kimi-K2,Qwen3-32B,Claude-Sonnet-4.6,2.893,2.75,0.143,0.2996,0.3852,ns
Kimi-K2,Qwen3-32B,GPT-4.1,2.893,2.821,0.071,0.604,0.6795,ns
Kimi-K2,Llama-3.1-8B,Llama-3.2-3B,2.143,2.138,0.005,0.8841,0.9042,ns
Kimi-K2,Llama-3.1-8B,Qwen2.5-7B,2.143,2.036,0.107,0.9502,0.9502,ns
Kimi-K2,Llama-3.1-8B,Claude-Sonnet-4.6,2.143,2.75,-0.607,0.0,0.0,***
Kimi-K2,Llama-3.1-8B,GPT-4.1,2.143,2.821,-0.679,0.0,0.0,***
Kimi-K2,Llama-3.2-3B,Qwen2.5-7B,2.138,2.036,0.102,0.8351,0.8739,ns
Kimi-K2,Llama-3.2-3B,Claude-Sonnet-4.6,2.138,2.75,-0.612,0.0,0.0,***
Kimi-K2,Llama-3.2-3B,GPT-4.1,2.138,2.821,-0.684,0.0,0.0,***
Kimi-K2,Qwen2.5-7B,Claude-Sonnet-4.6,2.036,2.75,-0.714,0.0,0.0001,***
Kimi-K2,Qwen2.5-7B,GPT-4.1,2.036,2.821,-0.786,0.0,0.0,***
Kimi-K2,Claude-Sonnet-4.6,GPT-4.1,2.75,2.821,-0.071,0.604,0.6795,ns
Llama-3.3-70B,DeepSeek-V3-685B,Kimi-K2-1T,2.885,2.308,0.577,0.0001,0.0006,***
Llama-3.3-70B,DeepSeek-V3-685B,Llama-3.3-70B,2.885,2.462,0.423,0.0034,0.0108,*
Llama-3.3-70B,DeepSeek-V3-685B,Gemma-3-27B,2.885,2.577,0.308,0.0429,0.0805,ns
Llama-3.3-70B,DeepSeek-V3-685B,Qwen3-32B,2.885,2.731,0.154,0.2863,0.3682,ns
Llama-3.3-70B,DeepSeek-V3-685B,Llama-3.1-8B,2.885,2.038,0.846,0.0,0.0,***
Llama-3.3-70B,DeepSeek-V3-685B,Llama-3.2-3B,2.885,2.231,0.654,0.0,0.0001,***
Llama-3.3-70B,DeepSeek-V3-685B,Qwen2.5-7B,2.885,1.846,1.038,0.0,0.0,***
Llama-3.3-70B,DeepSeek-V3-685B,Claude-Sonnet-4.6,2.885,2.385,0.5,0.0005,0.0022,**
Llama-3.3-70B,DeepSeek-V3-685B,GPT-4.1,2.885,2.385,0.5,0.0005,0.0022,**
Llama-3.3-70B,Kimi-K2-1T,Llama-3.3-70B,2.308,2.462,-0.154,0.3379,0.411,ns
Llama-3.3-70B,Kimi-K2-1T,Gemma-3-27B,2.308,2.577,-0.269,0.0621,0.1035,ns
Llama-3.3-70B,Kimi-K2-1T,Qwen3-32B,2.308,2.731,-0.423,0.0047,0.0126,*
Llama-3.3-70B,Kimi-K2-1T,Llama-3.1-8B,2.308,2.038,0.269,0.0484,0.0872,ns
Llama-3.3-70B,Kimi-K2-1T,Llama-3.2-3B,2.308,2.231,0.077,0.5215,0.6018,ns
Llama-3.3-70B,Kimi-K2-1T,Qwen2.5-7B,2.308,1.846,0.462,0.0164,0.0322,*
Llama-3.3-70B,Kimi-K2-1T,Claude-Sonnet-4.6,2.308,2.385,-0.077,0.6707,0.6859,ns
Llama-3.3-70B,Kimi-K2-1T,GPT-4.1,2.308,2.385,-0.077,0.6707,0.6859,ns
Llama-3.3-70B,Llama-3.3-70B,Gemma-3-27B,2.462,2.577,-0.115,0.3641,0.4312,ns
Llama-3.3-70B,Llama-3.3-70B,Qwen3-32B,2.462,2.731,-0.269,0.0621,0.1035,ns
Llama-3.3-70B,Llama-3.3-70B,Llama-3.1-8B,2.462,2.038,0.423,0.0034,0.0108,*
Llama-3.3-70B,Llama-3.3-70B,Llama-3.2-3B,2.462,2.231,0.231,0.1098,0.1703,ns
Llama-3.3-70B,Llama-3.3-70B,Qwen2.5-7B,2.462,1.846,0.615,0.0008,0.0029,**
Llama-3.3-70B,Llama-3.3-70B,Claude-Sonnet-4.6,2.462,2.385,0.077,0.594,0.6519,ns
Llama-3.3-70B,Llama-3.3-70B,GPT-4.1,2.462,2.385,0.077,0.594,0.6519,ns
Llama-3.3-70B,Gemma-3-27B,Qwen3-32B,2.577,2.731,-0.154,0.3379,0.411,ns
Llama-3.3-70B,Gemma-3-27B,Llama-3.1-8B,2.577,2.038,0.538,0.0001,0.0007,***
Llama-3.3-70B,Gemma-3-27B,Llama-3.2-3B,2.577,2.231,0.346,0.0122,0.0305,*
Llama-3.3-70B,Gemma-3-27B,Qwen2.5-7B,2.577,1.846,0.731,0.0,0.0001,***
Llama-3.3-70B,Gemma-3-27B,Claude-Sonnet-4.6,2.577,2.385,0.192,0.1497,0.2173,ns
Llama-3.3-70B,Gemma-3-27B,GPT-4.1,2.577,2.385,0.192,0.1497,0.2173,ns
Llama-3.3-70B,Qwen3-32B,Llama-3.1-8B,2.731,2.038,0.692,0.0,0.0,***
Llama-3.3-70B,Qwen3-32B,Llama-3.2-3B,2.731,2.231,0.5,0.0005,0.0022,**
Llama-3.3-70B,Qwen3-32B,Qwen2.5-7B,2.731,1.846,0.885,0.0,0.0,***
Llama-3.3-70B,Qwen3-32B,Claude-Sonnet-4.6,2.731,2.385,0.346,0.0164,0.0322,*
Llama-3.3-70B,Qwen3-32B,GPT-4.1,2.731,2.385,0.346,0.0164,0.0322,*
Llama-3.3-70B,Llama-3.1-8B,Llama-3.2-3B,2.038,2.231,-0.192,0.1826,0.2568,ns
Llama-3.3-70B,Llama-3.1-8B,Qwen2.5-7B,2.038,1.846,0.192,0.6692,0.6859,ns
Llama-3.3-70B,Llama-3.1-8B,Claude-Sonnet-4.6,2.038,2.385,-0.346,0.0164,0.0322,*
Llama-3.3-70B,Llama-3.1-8B,GPT-4.1,2.038,2.385,-0.346,0.0164,0.0322,*
