judge,n_items,friedman_chi2,df,p_friedman,sig_friedman,kendall_W,levene_F,p_levene,sig_levene,mean_s3,mean_s5,mean_s10,sd_s3,sd_s5,sd_s10,gap
Claude-Sonnet,60,4.98,2,0.0829,ns,0.028,0.199,0.8197,ns,0.567,0.558,0.565,0.215,0.141,0.12,0.008
DeepSeek-V3,60,47.32,2,0.0,***,0.267,3.089,0.048,*,0.542,0.575,0.67,0.139,0.14,0.084,0.129
GPT-4o-mini,60,38.841,2,0.0,***,0.219,4.776,0.0095,**,0.5,0.646,0.631,0.184,0.155,0.095,0.146
Llama-3.3-70B,60,71.172,2,0.0,***,0.402,8.458,0.0003,***,0.508,0.725,0.707,0.065,0.1,0.087,0.217
Qwen3-32B,60,0.893,2,0.6399,ns,0.005,16.583,0.0,***,0.692,0.667,0.659,0.245,0.119,0.057,0.032
